smiles,canonical_smiles,unique_hydrogens,unique_carbons,sascore,ir_similarity,cnmr_similarity,hnmr_similarity,similarity,sum_of_similarities,cnmr_ir_similarity,ir_hnmr_similarity,cnmr_hnmr_similarity,tanimoto
O=Cc1ccc(Cl)cc1C1CCCC1,O=Cc1ccc(Cl)cc1C1CCCC1,7,10,2.1646421241536764,0.029925301671028137,-0.08845977485179901,0.026403866708278656,0.001066913828253746,-0.03213060647249222,-0.017701484262943268,0.0502125546336174,-0.03990098461508751,0.3629943502824859
COc1ccc(C(Cl)=CC2CC2(C)C)cc1,COc1ccc(C(Cl)=CC2CC2(C)C)cc1,7,11,2.860973549845509,-0.1505879908800125,0.09151504933834076,-0.047667067497968674,0.01633446104824543,-0.10674000903964043,-0.02858123555779457,-0.11774004995822906,0.1105022057890892,0.15286624203821655
O=Cc1ccc(Cl)cc1C1CCCCC1,O=Cc1ccc(Cl)cc1C1CCCCC1,8,11,2.141258342417512,0.014134666882455349,0.07257872819900513,0.39088618755340576,0.1235143318772316,0.47759958263486624,0.0392063669860363,0.15745684504508972,0.16688159108161926,0.3695955369595537
COc1ccc(C(Cl)=CC2C(C)C2(C)C)cc1,COc1ccc(C(Cl)=CC2C(C)C2(C)C)cc1,8,12,3.1813483191447043,-0.15716144442558289,0.07657886296510696,-0.04886230081319809,-0.02979109063744545,-0.129444882273674,-0.06502721458673477,-0.12550024688243866,0.07072446495294571,0.154126213592233
C#CCCCCCC(=O)C=C(Cl)CCCCCC#C,C#CCCCCCC(=O)C=C(Cl)CCCCCC#C,13,17,3.165760409417114,-0.046652086079120636,-0.1118890792131424,0.11391426622867584,-0.03522864729166031,-0.04462689906358719,-0.06797268241643906,0.001469932496547699,-0.02532263658940792,0.12152777777777778
CCCCCCCC/C(C=O)=C(/Cl)c1ccccc1,CCCCCCCC/C(C=O)=C(/Cl)c1ccccc1,12,15,2.4037540717296455,0.006635621190071106,0.1808452308177948,-0.005827649030834436,0.07261748611927032,0.18165320297703147,0.0821714848279953,0.022454731166362762,0.0826968178153038,0.18269230769230768
C/C(=C\C=O)c1ccc(CCCl)cc1,C/C(=C\C=O)c1ccc(CCCl)cc1,7,10,2.364667567940659,-0.34653767943382263,-0.10525387525558472,-0.11606403440237045,-0.15895327925682068,-0.5678555890917778,-0.20544499158859253,-0.24237973988056183,-0.08114392310380936,0.1639871382636656
CC(C)C(=O)/C=C(/Cl)c1ccccc1,CC(C)C(=O)/C=C(/Cl)c1ccccc1,6,9,2.31779880431562,-0.03615444153547287,0.20970821380615234,0.08781442046165466,0.08550316840410233,0.26136819273233414,0.1161661148071289,-0.02296968549489975,0.12916775047779083,0.1633587786259542
C/C(C=O)=C\c1ccc(C(C)(C)CCl)cc1,C/C(C=O)=C\c1ccc(C(C)(C)CCl)cc1,7,11,2.5905906935952014,-0.18218401074409485,0.0732644647359848,0.0561223067343235,-0.04671499878168106,-0.052797239273786545,-0.06486533582210541,-0.10095208883285522,0.03983211889863014,0.17709923664122137
C#CCOc1ccc(C(CC)CCC)cc1Cl,C#CCOc1ccc(C(CC)CCC)cc1Cl,11,15,2.7995018949857737,-0.10386928915977478,-0.09247364848852158,0.13746778666973114,-0.017691897228360176,-0.058875150978565216,-0.11433734744787216,0.0059472620487213135,0.03183937072753906,0.3347222222222222
CCCCCCCCc1ccc(/C=C/C(=O)Cl)cc1,CCCCCCCCc1ccc(/C=C/C(=O)Cl)cc1,12,15,1.9765438153193902,-0.013157641515135765,0.10107835382223129,0.05325329676270485,0.03367503732442856,0.14117400906980038,0.04630780220031738,0.00045557692646980286,0.05305565148591995,0.2807625649913345
CCCCc1ccc(/C=C/C(=O)Cl)cc1,CCCCc1ccc(/C=C/C(=O)Cl)cc1,8,11,1.9495001517709483,-0.07260487228631973,-0.1969083547592163,0.143213152885437,-0.11612812429666519,-0.12630007416009903,-0.14145329594612122,-0.0024736225605010986,-0.12101283669471741,0.23050259965337955
CCCCCc1ccc(/C=C/C(=O)Cl)cc1,CCCCCc1ccc(/C=C/C(=O)Cl)cc1,9,12,1.945917706117564,-0.05145533010363579,-0.09806852787733078,0.18434712290763855,-0.060802944004535675,0.03482326492667198,-0.07468678802251816,0.011946648359298706,-0.05177457258105278,0.24956672443674177
CCCc1ccc(/C=C/C(=O)Cl)cc1,CCCc1ccc(/C=C/C(=O)Cl)cc1,7,10,1.9781220058104818,-0.09563962370157242,-0.16243255138397217,-0.14629292488098145,-0.15650194883346558,-0.40436509996652603,-0.15508510172367096,-0.0886775478720665,-0.1733446717262268,0.20695652173913043
C/C=C(C)\C=C/c1cccc(CO)c1Cl,C/C=C(C)\C=C/c1cccc(CO)c1Cl,10,13,2.741687340192284,0.04065662994980812,0.12868483364582062,-0.07140877842903137,0.02694644406437874,0.09793268516659737,0.0572119802236557,0.01585274189710617,0.020615750923752785,0.20445609436435125
CCCC(CCl)c1oc2ccccc2c1C,CCCC(CCl)c1oc2ccccc2c1C,10,14,2.938350007806152,0.2695765495300293,-0.1451517939567566,-0.011115342378616333,0.05815518647432327,0.11330941319465637,0.09191648662090302,0.1787351667881012,-0.09143690019845963,0.1920704845814978
[2H]C1c2cc(Cl)cc(C=O)c2CC1(C)C,[2H]C1c2cc(Cl)cc(C=O)c2CC1(C)C,7,11,4.045661958954045,0.061584025621414185,-0.14146599173545837,0.07187271118164062,-0.00923429150134325,-0.008009254932403564,-0.05304750055074692,0.06715656816959381,-0.02081838622689247,0.27808988764044945
C=C(C)c1ccc(C(=O)CCCl)cc1,C=C(C)c1ccc(C(=O)CCCl)cc1,6,10,2.068615403505902,0.12661468982696533,-0.14860117435455322,-0.01834452711045742,0.02247326821088791,-0.04033101163804531,0.048405420035123825,0.0359526127576828,-0.047227874398231506,0.21484992101105846
C=C/C(C)=C(Cl)\C(=C/C)C1=CC=C(O)CC1C,C=C/C(C)=C(Cl)\C(=C/C)C1=CC=C(O)CC1C,11,15,4.541317345067606,-0.02428973838686943,0.030273418873548508,-0.0682888999581337,0.018009835854172707,-0.06230521947145462,0.0322103425860405,-0.009337375871837139,-0.02465355023741722,0.1641938674579624
C=C.O=C1CCC(c2ccc(Cl)cc2)CC1,C=C.O=C1CCC(c2ccc(Cl)cc2)CC1,6,9,2.1459906935952002,0.1997145563364029,0.05926566570997238,0.007806316949427128,0.10261672735214233,0.2667865389958024,0.1654166281223297,0.10809347033500671,0.017840266227722168,0.3689839572192513
CC/C=C\c1cc(Cl)c(OC2CCCC2)cc1C,CC/C=C\c1cc(Cl)c(OC2CCCC2)cc1C,10,14,2.4335430278018695,0.1458750069141388,-0.06323414295911789,-0.22850684821605682,-0.042673904448747635,-0.14586598426103592,0.026866761967539787,0.032322175800800323,-0.13517773151397705,0.21180189673340358
C=CCC(C(=O)Cl)c1cccc(C)c1,C=CCC(C(=O)Cl)c1cccc(C)c1,9,12,2.8562771788787042,0.45901066064834595,0.03991655632853508,-0.009063353762030602,0.21466661989688873,0.4898638632148504,0.3034542202949524,0.29290783405303955,0.007286840118467808,0.21311475409836064
C=C/C(C(=C)C)=C(/O)C1=CC=CCC1CCl,C=C/C(C(=C)C)=C(/O)C1=CC=CCC1CCl,11,14,4.3011409917059735,-0.13237987458705902,-0.027087517082691193,-0.10127703100442886,-0.08042849600315094,-0.2607444226741791,-0.08168905973434448,-0.13480429351329803,-0.02849828265607357,0.14486486486486486
CC(C)=C=C(C)/C=C\C(C)=C=C(C)CC(=O)Cl,CC(C)=C=C(C)/C=C\C(C)=C=C(C)CC(=O)Cl,7,14,4.232060637784612,-0.04015599936246872,-0.2071819305419922,-0.03498370945453644,-0.05213340371847153,-0.28232163935899734,-0.09875868260860443,0.03888411074876785,-0.13941098749637604,0.08703071672354949
C=C(c1cc(OC)cc(Cl)c1C)C1CC1,C=C(c1cc(OC)cc(Cl)c1C)C1CC1,7,12,2.4864985034193,-0.04638126492500305,0.1420464813709259,0.016898270696401596,0.02599807269871235,0.11256348714232445,0.03034104034304619,-0.06736865639686584,0.12030245363712311,0.2942366026289181
CCCC1CCC(c2ccc(C(=O)Cl)cc2)CC1C,CCCC1CCC(c2ccc(C(=O)Cl)cc2)CC1C,12,15,3.211992966350172,0.1935233771800995,-0.04045137017965317,0.18535691499710083,0.013090668246150017,0.33842892199754715,0.038986943662166595,0.11316418647766113,0.030414724722504616,0.3177842565597668
C#Cc1cc(OC(C)(C)C)ccc1Cl,C#Cc1cc(OC(C)(C)C)ccc1Cl,5,10,2.439299296710848,-0.04864012449979782,-0.05119394510984421,0.06532815098762512,-0.03995399922132492,-0.03450591862201691,-0.0368846133351326,-0.020949305966496468,-0.03812115639448166,0.19692737430167598
C=C(C)c1ccc(OCC2CC2)c(Cl)c1,C=C(C)c1ccc(OCC2CC2)c(Cl)c1,8,12,2.068105726683841,-0.1616629958152771,0.1348191201686859,0.026097314432263374,-2.2318214178085327e-05,-0.0007465612143278122,-0.03303151577711105,-0.10371138155460358,0.1192101463675499,0.2574385510996119
CC(C)C(=O)C1(c2ccc(Cl)cc2)CCC1,CC(C)C(=O)C1(c2ccc(Cl)cc2)CCC1,6,10,2.2031946291944866,0.13084031641483307,0.2699202299118042,0.20702841877937317,0.19027917087078094,0.6077889651060104,0.23458042740821838,0.12084691971540451,0.18455174565315247,0.3172043010752688
CC1(C)CC[C@H](Cc2ccc(Cl)cc2)[C@@]12CO2,CC1(C)CC[C@H](Cc2ccc(Cl)cc2)[C@@]12CO2,8,12,3.7890540741884493,0.10866497457027435,0.25991541147232056,0.2243671417236328,0.17242659628391266,0.5929475277662277,0.1474953293800354,0.14756406843662262,0.21764525771141052,0.33181299885974913
CC1(C)CC[C@H](Cc2ccc(Cl)cc2)[C@]12CO2,CC1(C)CC[C@H](Cc2ccc(Cl)cc2)[C@]12CO2,8,12,3.7890540741884493,0.11879963427782059,0.2601708173751831,0.2273234874010086,0.17865103483200073,0.6062939390540123,0.15808674693107605,0.15648290514945984,0.2135924994945526,0.33181299885974913
CC1(C)CC[C@@H](Cc2ccc(Cl)cc2)[C@@]12CO2,CC1(C)CC[C@@H](Cc2ccc(Cl)cc2)[C@@]12CO2,8,12,3.7890540741884493,0.11303547024726868,0.26263555884361267,0.23439866304397583,0.1762760728597641,0.6100696921348572,0.15028975903987885,0.1524488925933838,0.22263042628765106,0.33181299885974913
CC1(C)CC[C@@](C)(Cc2ccc(Cl)cc2)[C@@]1(C)C=O,CC1(C)CC[C@@](C)(Cc2ccc(Cl)cc2)[C@@]1(C)C=O,9,14,3.6881426265300226,-0.047827351838350296,0.37151408195495605,0.09418762475252151,0.08638770133256912,0.4178743548691273,0.08754676580429077,0.007968742400407791,0.19959644973278046,0.4323529411764706
COCC1(C)CC=C(c2ccc(Cl)cc2)CC1,COCC1(C)CC=C(c2ccc(Cl)cc2)CC1,9,13,3.0207677296829925,-0.01944001391530037,0.33023664355278015,-0.031052500009536743,0.105069600045681,0.27974412962794304,0.14935846626758575,0.009591187350451946,0.10886389017105103,0.2725060827250608
COCC1(C)CCC=C(c2ccc(Cl)cc2)C1,COCC1(C)CCC=C(c2ccc(Cl)cc2)C1,9,13,3.1028177296829913,0.03319373354315758,0.11377651244401932,-0.07411691546440125,0.05631475895643234,0.07285333052277565,0.0983348935842514,0.03161238878965378,-0.011030727066099644,0.27667057444314186
CCCOc1ccc(Cl)cc1C12CC(C1)C2,CCCOc1ccc(Cl)cc1C12CC(C1)C2,8,12,2.861423009855276,0.02790870890021324,-0.12280652672052383,-0.18710729479789734,-0.0167737677693367,-0.28200511261820793,-0.05899842828512192,0.021288877353072166,-0.08011884987354279,0.2927927927927928
C=C(OC(CC)=C(C)C)c1ccc(Cl)cc1,C=C(OC(CC)=C(C)C)c1ccc(Cl)cc1,6,11,2.7666300495880467,-0.1163521558046341,-0.1196267232298851,-0.10616908222436905,-0.1493270844221115,-0.34214796125888824,-0.16615056991577148,-0.10464203357696533,-0.10825742036104202,0.20523415977961432
CO/C=C1/CCCC(c2ccc(Cl)cc2)C1,CO/C=C1/CCCC(c2ccc(Cl)cc2)C1,9,12,2.927715091418193,0.17111751437187195,0.030656961724162102,0.06288192421197891,0.10656368732452393,0.26465640030801296,0.10835495591163635,0.1200881153345108,0.07199741899967194,0.3049645390070922
C/C(Cl)=C\C=C(/C)c1ccc(O)c(C)c1,C/C(Cl)=C\C=C(/C)c1ccc(O)c(C)c1,9,13,2.8103219649577635,0.008518034592270851,-0.043862707912921906,-0.03333863988518715,0.0184928085654974,-0.0686833132058382,0.0013585295528173447,0.03743840754032135,-0.03414109721779823,0.18018018018018017
C=C(Cl)c1ccc(OC)cc1/C=C\C,C=C(Cl)c1ccc(OC)cc1/C=C\C,8,12,2.5959243103884955,-0.13749980926513672,0.2472098469734192,-0.08739348500967026,0.007934978231787682,0.022316552698612213,0.014503387734293938,-0.16086475551128387,0.1631404459476471,0.17359413202933985
CC1OC1(c1ccc(Cl)cc1)C(C)C1CC1,CC1OC1(c1ccc(Cl)cc1)C(C)C1CC1,8,11,3.6196394114625416,-0.056298431009054184,0.14472171664237976,0.1089063510298729,0.05391189455986023,0.19732963666319847,0.06723011285066605,-0.02966088429093361,0.0979272648692131,0.29063097514340347
Cc1ccc(CC2CCCCC2)cc1C(=O)Cl,Cc1ccc(CC2CCCCC2)cc1C(=O)Cl,9,13,2.033752158763635,0.19556130468845367,0.1544492542743683,0.3493524193763733,0.16452065110206604,0.6993629783391953,0.1490442007780075,0.21223726868629456,0.18455298244953156,0.32789115646258504
CC1CC(c2cccc(Cl)c2)C2OC12,CC1CC(c2cccc(Cl)c2)C2OC12,10,12,3.5050294378497036,0.5060920715332031,0.04978823661804199,0.05164387449622154,0.26847851276397705,0.6075241826474667,0.3277464509010315,0.3927844166755676,0.023305904120206833,0.3144722524483134
CCC/C(C=O)=C(/Cl)c1ccc(C)cc1,CCC/C(C=O)=C(/Cl)c1ccc(C)cc1,7,11,2.622816420867707,-0.1517750769853592,-0.1370885968208313,-0.16766996681690216,-0.13727426528930664,-0.45653364062309265,-0.1269810050725937,-0.12764106690883636,-0.16491791605949402,0.17270194986072424
CC(=CC(=O)Cl)c1ccc(CC(C)C)cc1,CC(=CC(=O)Cl)c1ccc(CC(C)C)cc1,7,11,2.2478500853662204,-0.2076553851366043,-0.08876974880695343,-0.017501434311270714,-0.0831199362874031,-0.31392656825482845,-0.11078305542469025,-0.13406655192375183,-0.05287247896194458,0.2357473035439137
O=CCCCCC=Cc1cccc(Cl)c1,O=CCCCCC=Cc1cccc(Cl)c1,11,13,2.202838306639336,0.2650316059589386,0.35333389043807983,0.15244916081428528,0.259637713432312,0.7708146572113037,0.3184095621109009,0.23961487412452698,0.1864800602197647,0.22419928825622776
CCCCCCc1coc2cc(Cl)ccc12,CCCCCCc1coc2cc(Cl)ccc12,10,14,2.0043668699971615,-0.0483204647898674,0.16582953929901123,0.1250389963388443,0.06625441461801529,0.24254807084798813,0.044644296169281006,0.014872480183839798,0.1249818354845047,0.26696329254727474
O=CCCCC=CCc1ccc(Cl)cc1,O=CCCCC=CCc1ccc(Cl)cc1,9,11,2.3005921527931843,-0.07198497653007507,0.16430631279945374,-0.006902697496116161,-0.011923443526029587,0.0854186387732625,0.008791963569819927,-0.042835213243961334,0.03398694097995758,0.2438563327032136
CC(=O)C(Cl)C=CCc1ccccc1,CC(=O)C(Cl)C=CCc1ccccc1,8,10,3.0521386861972957,0.1969715654850006,0.1019485741853714,-0.002854185178875923,0.13955053687095642,0.2960659544914961,0.1754043698310852,0.14552626013755798,0.046423789113759995,0.16898954703832753
C=CC1=C(C(=C)Cl)C=CCC(OC)=C1,C=CC1=C(C(=C)Cl)C=CCC(OC)=C1,8,12,4.132435646420883,-0.1342843919992447,-0.1501387357711792,0.01908634975552559,-0.08068469911813736,-0.2653367780148983,-0.09312313795089722,-0.11817259341478348,-0.05505364388227463,0.12594458438287154
Cc1ccccc1C(Cl)C(=O)C1CC1,Cc1ccccc1C(Cl)C(=O)C1CC1,8,11,2.7549233327248572,0.11335870623588562,0.09703584015369415,0.13191992044448853,0.1199924498796463,0.3423144668340683,0.13792571425437927,0.1285702884197235,0.06232256814837456,0.29750982961992134
CCc1ccc(C(C)=CC(=O)Cl)cc1,CCc1ccc(C(C)=CC(=O)Cl)cc1,6,10,2.2044534601860644,-0.2657869756221771,-0.05771110951900482,0.04307548701763153,-0.12485867738723755,-0.2804225981235504,-0.1621529906988144,-0.15855398774147034,-0.04128798469901085,0.16536661466458658
CCC(=O)c1ccc(Cl)c(C2CC2)c1,CCC(=O)c1ccc(Cl)c(C2CC2)c1,7,11,1.9580137840727048,0.1914646029472351,-0.021805603057146072,0.026647241786122322,0.10763665288686752,0.19630624167621136,0.14147423207759857,0.1507667899131775,-0.02627113088965416,0.25654450261780104
CC(C)(C)c1ccc(C2(Cl)C3OC32)cc1,CC(C)(C)c1ccc(C2(Cl)C3OC32)cc1,4,8,3.402194856108064,-0.018809448927640915,0.040145762264728546,-0.020357580855488777,-0.043435238301754,0.000978732481598854,0.014982394874095917,-0.05448354780673981,-0.04006078839302063,0.22800495662949194
CC(Oc1ccc(Cl)cc1)=C1CCC1,CC(Oc1ccc(Cl)cc1)=C1CCC1,5,9,2.324975260248351,-0.13512934744358063,-0.04792631417512894,-0.05001647025346756,0.0046493541449308395,-0.23307213187217712,-0.024912234395742416,-0.05569719523191452,-0.03465838357806206,0.13737075332348597
