smiles,canonical_smiles,unique_hydrogens,unique_carbons,sascore,ir_similarity,cnmr_similarity,hnmr_similarity,similarity,sum_of_similarities,cnmr_ir_similarity,ir_hnmr_similarity,cnmr_hnmr_similarity,tanimoto
CCC(C=O)(CCC=O)OCCO,CCC(C=O)(CCC=O)OCCO,9,9,4.134763919829283,0.05618619918823242,-0.09742620587348938,0.15897305309772491,0.04770119488239288,0.11773304641246796,0.019781015813350677,0.09692554175853729,0.005314134061336517,0.16013071895424835
COC(C1CO1)C1(OC)OC1C,COC(C1CO1)C1(OC)OC1C,7,8,4.852702014061679,0.14014917612075806,-0.011774319224059582,-0.022600585594773293,0.023636117577552795,0.10577427130192518,0.06157867610454559,0.06947952508926392,-0.031526677310466766,0.0804416403785489
CCC(OC)C1(OC)OC12CO2,CCC(OC)C1(OC)OC12CO2,6,8,5.26037385108899,0.0675312802195549,0.07597419619560242,0.15720370411872864,0.07728120684623718,0.30070918053388596,0.06781354546546936,0.0950426533818245,0.07948371767997742,0.07835325365205843
CC(C)C(C)(C)C(C(=O)O)C(=O)O,CC(C)C(C)(C)C(C(=O)O)C(=O)O,5,6,2.784083422465402,0.7574672102928162,0.548581600189209,0.6169084906578064,0.5936279892921448,1.9229573011398315,0.6216012835502625,0.6753069758415222,0.4921557307243347,0.5915492957746479
COC(CCC1OC12CO2)OC,COC(CCC1OC12CO2)OC,6,7,4.662367768232743,-0.16803595423698425,0.03206667676568031,0.19512632489204407,-0.019118595868349075,0.05915704742074013,-0.06925106048583984,-0.03712480142712593,0.0696612000465393,0.07532467532467532
CCC1OC1(OC)C(OC)C1CO1,CCC1OC1(OC)C(OC)C1CO1,8,9,4.910836898869688,0.13530093431472778,0.036349013447761536,0.1524808406829834,0.09649074077606201,0.3241307884454727,0.0884399339556694,0.13898570835590363,0.06425704061985016,0.07402031930333818
CCC(OC)C1(OC)OC12OC2C,CCC(OC)C1(OC)OC12OC2C,7,9,5.3967605644884635,0.14938439428806305,0.0371754989027977,0.2608831524848938,0.13191452622413635,0.44744304567575455,0.09719278663396835,0.1845126748085022,0.1111302375793457,0.07311320754716981
CCCC(C)(C)C(C(=O)O)C(=O)O,CCCC(C)(C)C(C(=O)O)C(=O)O,6,7,2.751104173085748,0.6963732242584229,0.3745381832122803,0.4403967261314392,0.4660729169845581,1.5113081336021423,0.49724864959716797,0.5746859312057495,0.35080304741859436,0.451063829787234
C[C@H](O)[C@H](O)C(=O)/C=C/O,C[C@H](O)[C@H](O)C(=O)/C=C/O,8,6,4.213833565518124,0.2721325755119324,-0.039612188935279846,-0.013915827497839928,0.0991663783788681,0.2186045590788126,0.15584512054920197,0.13984845578670502,-0.013176040723919868,0.15789473684210525
C=CCC(C(=O)O)C(O)CO,C=CCC(C(=O)O)C(O)CO,9,7,3.616394051623356,0.4286450445652008,0.08609536290168762,0.04894470050930977,0.1616276055574417,0.5636851079761982,0.2112196683883667,0.2633129954338074,0.06420880556106567,0.3170731707317073
C=CCC(O)C(O)CC(=O)O,C=CCC(O)C(O)CC(=O)O,9,7,3.482481963711267,0.32948964834213257,0.04898439347743988,0.027209291234612465,0.1334097683429718,0.4056833330541849,0.18622678518295288,0.20431174337863922,0.023839162662625313,0.2
C=C(C(=O)O)C(O)(O)CC,C=C(C(=O)O)C(O)(O)CC,5,6,3.2413751359062832,0.4264230728149414,0.1838986873626709,0.07869045436382294,0.2253798097372055,0.6890122145414352,0.3304925560951233,0.2686467170715332,0.08656984567642212,0.1976284584980237
C/C=C(\C)C(=O)O.CC(=O)O,C/C=C(\C)C(=O)O.CC(=O)O,6,7,2.4153652593741537,0.5240665078163147,0.1435180902481079,0.3596174120903015,0.32841670513153076,1.0272020101547241,0.3146008849143982,0.42817410826683044,0.25378453731536865,0.18181818181818182
C=CCC1(C=O)CO1.OCCO,C=CCC1(C=O)CO1.OCCO,7,7,3.9366307861733496,0.15175187587738037,0.01604088768362999,-0.016301367431879044,0.08280543982982635,0.15149139612913132,0.080481618642807,0.11185575276613235,0.017938707023859024,0.20187793427230047
C=C(C)C(=O)OC(C)(O)OCC,C=C(C)C(=O)OC(C)(O)OCC,6,8,3.59367078617335,0.24777647852897644,0.05684635788202286,-0.14934423565864563,0.07059305161237717,0.15527860075235367,0.14813461899757385,0.09421008080244064,-0.024218324571847916,0.1111111111111111
C=C.COC(=O)CCCC(=O)OC,C=C.COC(=O)CCCC(=O)OC,4,5,2.0130435961626727,0.008833236992359161,0.3076713979244232,0.0017067119479179382,0.1299005150794983,0.3182113468647003,0.11392883956432343,0.061943601816892624,0.15771114826202393,0.22941176470588234
C=CC=C(O)C(CO)(CO)CO,C=CC=C(O)C(CO)(CO)CO,6,6,3.8217276656261996,0.12688668072223663,0.1404668688774109,0.006604539230465889,0.14349648356437683,0.2739580888301134,0.14704225957393646,0.07784596085548401,0.12578079104423523,0.12017167381974249
CC(=O)O.CC(O)C#CO,CC(=O)O.CC(O)C#CO,6,6,3.7074814676952075,0.3470767140388489,0.31241151690483093,0.23178519308567047,0.30749011039733887,0.8912734240293503,0.36307692527770996,0.2873840928077698,0.2256750911474228,0.1232876712328767
