smiles,canonical_smiles,unique_hydrogens,unique_carbons,sascore,ir_similarity,cnmr_similarity,hnmr_similarity,similarity,sum_of_similarities,cnmr_ir_similarity,ir_hnmr_similarity,cnmr_hnmr_similarity,tanimoto
COc1ccc(C(=NOS(C)(=O)=O)C(F)F)cc1-c1ccccc1,COc1ccc(C(=NOS(C)(=O)=O)C(F)F)cc1-c1ccccc1,9,14,2.572694342451557,-0.2780889868736267,0.023484516888856888,0.13647231459617615,-0.07533995807170868,-0.11813215538859367,-0.15405923128128052,-0.14696653187274933,0.0815853402018547,0.38337468982630274
CS(=O)(=O)NC(=O)c1ccc(OCc2ccc(F)cc2F)cc1,CS(=O)(=O)NC(=O)c1ccc(OCc2ccc(F)cc2F)cc1,8,13,1.9191661466002063,-0.13929346203804016,0.36023423075675964,-0.007502405904233456,0.09087944030761719,0.21343836281448603,0.13149255514144897,-0.1055094450712204,0.18126395344734192,0.2901726427622842
Cc1cccc(COc2cc(F)c(C(=O)NS(C)(=O)=O)cc2F)c1,Cc1cccc(COc2cc(F)c(C(=O)NS(C)(=O)=O)cc2F)c1,10,16,2.1592311471852845,0.04082302749156952,0.10071014612913132,-0.021987948566675186,0.0625152662396431,0.11954522505402565,0.08549052476882935,-0.01493003312498331,0.08295270800590515,0.36809815950920244
CS(=O)(=O)NC(=O)c1ccc(OCc2cc(F)ccc2F)cc1,CS(=O)(=O)NC(=O)c1ccc(OCc2cc(F)ccc2F)cc1,8,13,1.9408936191276798,-0.16543853282928467,0.2870524525642395,0.004200756549835205,0.0709666758775711,0.12581467628479004,0.07525908201932907,-0.10779907554388046,0.17215795814990997,0.2925215089344805
Cc1ccc(COc2cc(F)c(C(=O)NS(C)(=O)=O)cc2F)cc1,Cc1ccc(COc2cc(F)c(C(=O)NS(C)(=O)=O)cc2F)cc1,8,14,2.099743809907178,-0.04397175833582878,0.17034587264060974,0.0183749720454216,0.0624677911400795,0.14474908635020256,0.0637560784816742,-0.0477558970451355,0.12961766123771667,0.3633559531153609
CS(=O)(=O)NC(=O)c1ccc(OCc2cc(F)cc(F)c2)cc1,CS(=O)(=O)NC(=O)c1ccc(OCc2cc(F)cc(F)c2)cc1,7,11,1.9737375751716364,-0.11554470658302307,0.3096189498901367,-0.0017604436725378036,0.08372283726930618,0.19231379963457584,0.12312745302915573,-0.11308377981185913,0.178131103515625,0.28099730458221023
Cc1ccc(S(=O)(=O)O)c([C@H]2Oc3c(ccc(F)c3F)N[C@H]2C)c1,Cc1ccc(S(=O)(=O)O)c([C@H]2Oc3c(ccc(F)c3F)N[C@H]2C)c1,11,16,3.577319748394758,-0.10703913122415543,-0.2774484157562256,-0.013434266671538353,-0.07917745411396027,-0.39792181365191936,-0.16704140603542328,-0.05337262526154518,-0.08203716576099396,0.5563869588455371
CS(=O)(=O)CCNC(=O)c1cc(-c2ccc(F)cc2F)ccc1O,CS(=O)(=O)CCNC(=O)c1cc(-c2ccc(F)cc2F)ccc1O,11,16,2.1237764726290713,-0.145126610994339,0.010120181366801262,-0.21628187596797943,-0.05440057814121246,-0.35128830559551716,-0.02666368894279003,-0.1637745499610901,-0.0539996363222599,0.3792888334373051
COC(=O)c1cc(F)c(NS(=O)(=O)c2ccccc2)cc1F,COC(=O)c1cc(F)c(NS(=O)(=O)c2ccccc2)cc1F,7,12,1.9211333571867577,0.07895010709762573,0.12929219007492065,0.0795302540063858,0.07215388864278793,0.2877725511789322,0.0713224932551384,0.08113151043653488,0.0862804427742958,0.4045707226683138
O=CC1CC(F)(F)C(=O)N1CC#Cc1ccc(C(=O)O)s1,O=CC1CC(F)(F)C(=O)N1CC#Cc1ccc(C(=O)O)s1,7,13,3.920745071918329,0.14100566506385803,-0.12583288550376892,0.34295761585235596,0.12422409653663635,0.35813039541244507,0.013630514964461327,0.2184574007987976,0.10618498921394348,0.37484737484737485
COC(=O)c1ccc(C#CCN2C(=O)C(F)(F)C[C@@H]2C=O)s1,COC(=O)c1ccc(C#CCN2C(=O)C(F)(F)C[C@@H]2C=O)s1,7,14,3.8626341204138086,-0.08158198744058609,-0.01075408048927784,0.11103934049606323,-0.011780444532632828,0.018703272566199303,-0.06933936476707458,-0.023694533854722977,0.0643821507692337,0.3913305237808549
O=C(O)c1csc(-c2c(F)cc(OC3CCOC3)cc2F)n1,O=C(O)c1csc(-c2c(F)cc(OC3CCOC3)cc2F)n1,7,12,3.063074567063932,0.7323770523071289,0.5151598453521729,0.5992598533630371,0.5772794485092163,1.8467967510223389,0.6205869913101196,0.6619908809661865,0.45762521028518677,0.6523545706371191
COC(=O)c1csc(-c2c(F)cc(C3(O)COC3)cc2F)n1,COC(=O)c1csc(-c2c(F)cc(C3(O)COC3)cc2F)n1,5,11,2.8292518187252185,0.6834415793418884,0.5146798491477966,0.22972139716148376,0.45183274149894714,1.4278428256511688,0.576077938079834,0.5090488791465759,0.3007228374481201,0.8817843866171003
O=S(=O)(NCC1(O)CCOc2ccccc21)c1ccc(F)c(F)c1,O=S(=O)(NCC1(O)CCOc2ccccc21)c1ccc(F)c(F)c1,12,16,2.9487478152078843,0.1070362851023674,-0.07419279962778091,0.27430349588394165,0.08359754830598831,0.30714698135852814,-0.016543250530958176,0.16336590051651,0.10580328106880188,0.5098379629629629
O=S(=O)(NCC1(O)CCOc2ccccc21)c1cc(F)cc(F)c1,O=S(=O)(NCC1(O)CCOc2ccccc21)c1cc(F)cc(F)c1,11,14,3.0487335786981262,0.2233995795249939,0.3333432078361511,0.39565309882164,0.2950296700000763,0.952395886182785,0.26897183060646057,0.25667625665664673,0.32836511731147766,0.5105386416861827
O=S(=O)(NCC1(O)CCOc2ccccc21)c1cc(F)ccc1F,O=S(=O)(NCC1(O)CCOc2ccccc21)c1cc(F)ccc1F,12,16,2.9920242790425586,0.10303382575511932,0.05706052482128143,0.32620057463645935,0.16111516952514648,0.4862949252128601,0.09871292859315872,0.17128866910934448,0.1678314208984375,0.5281609195402299
O=S(=O)(NCC1(O)CCOc2ccccc21)c1c(F)cccc1F,O=S(=O)(NCC1(O)CCOc2ccccc21)c1c(F)cccc1F,11,14,3.0456770919013403,0.1971651017665863,0.1004398912191391,0.34750449657440186,0.2232738435268402,0.6451094895601273,0.17355728149414062,0.24177701771259308,0.20186707377433777,0.5323615160349854
