smiles,canonical_smiles,unique_hydrogens,unique_carbons,sascore,ir_similarity,cnmr_similarity,hnmr_similarity,similarity,sum_of_similarities,cnmr_ir_similarity,ir_hnmr_similarity,cnmr_hnmr_similarity,tanimoto
C#CCN(C(=O)CCl)c1c(C)cccc1C,C#CCN(C(=O)CCl)c1c(C)cccc1C,6,10,2.6478236095164913,0.2537354826927185,0.05203697085380554,0.0210876502096653,0.06574629992246628,0.32686010375618935,0.1423933506011963,0.15479899942874908,-0.016848403960466385,0.20934411500449238
C#CCN(C(C)=O)c1c(C)ccc(Cl)c1C,C#CCN(C(C)=O)c1c(C)ccc(Cl)c1C,7,13,2.679574848974706,0.16078317165374756,-0.08447840809822083,-0.0021806620061397552,0.013387374579906464,0.07412410154938698,0.027140319347381592,0.12306961417198181,-0.06844186782836914,0.2606112054329372
C#CCN(C(=O)C(C)Cl)c1ccccc1C,C#CCN(C(=O)C(C)Cl)c1ccccc1C,9,13,3.020980347698818,0.2903217375278473,0.046992845833301544,0.1966559737920761,0.15119235217571259,0.533970557153225,0.17468567192554474,0.2598523497581482,0.058664411306381226,0.23056994818652848
O=C1NC/C(=C\c2ccccc2)C1Cl,O=C1NC/C(=C\c2ccccc2)C1Cl,7,9,3.176096733534574,0.002314439043402672,0.016004357486963272,-0.03197760879993439,0.032054752111434937,-0.013658812269568443,0.02701462246477604,0.015181561931967735,0.002768483944237232,0.22447013487475914
CC(C)c1[nH]c2ccccc2c1CC(=O)Cl,CC(C)c1[nH]c2ccccc2c1CC(=O)Cl,8,12,2.531313859963717,0.02365768700838089,-0.0679992139339447,0.008927591145038605,-0.04165330529212952,-0.03541393578052521,0.022069323807954788,0.01950686424970627,-0.11413544416427612,0.2814645308924485
O/N=C1\CC2(CCCC2)c2ccc(Cl)cc21,O/N=C1\CC2(CCCC2)c2ccc(Cl)cc21,7,11,3.225121445933242,-0.030496962368488312,0.2603289484977722,0.3240354061126709,0.13122138381004333,0.5538673922419548,0.08705497533082962,0.08280321955680847,0.22667738795280457,0.32991202346041054
O/N=C1\CCCC\C1=C\c1cccc(Cl)c1,O/N=C1\CCCC\C1=C\c1cccc(Cl)c1,10,13,2.4332454653148865,0.004204684868454933,0.1715579777956009,0.16829870641231537,0.0721379816532135,0.3440613690763712,0.08203958719968796,0.03828820586204529,0.12279403209686279,0.2111861137897782
O=C=N/C(Cl)=C/c1ccccc1,O=C=N/C(Cl)=C/c1ccccc1,4,7,2.911709434711005,0.18407265841960907,-0.036717139184474945,-0.0054061561822891235,0.11466281116008759,0.141949363052845,0.12774942815303802,0.11093725264072418,0.027685437351465225,0.12707838479809977
O=CC1C2CNCC12c1ccc(Cl)cc1,O=CC1C2CNCC12c1ccc(Cl)cc1,8,10,3.902826559390398,0.06141038239002228,-0.18489299714565277,0.0957985371351242,0.0036833439953625202,-0.027684077620506287,-0.06888141483068466,0.0860881358385086,-0.016380487009882927,0.33030553261767137
CCCc1cc(C(=O)Cl)ccc1C#N,CCCc1cc(C(=O)Cl)ccc1C#N,6,11,2.261164391360154,0.10232485085725784,-0.30582770705223083,-0.005502304062247276,-0.08308646082878113,-0.20900516025722027,-0.026438869535923004,0.049479588866233826,-0.2156921625137329,0.21206225680933852
