,molecule_id,1,5,10,Found,max,best_score,mol_size,max_initial_population,molecular_complexity
0,0,True,True,True,True,1.0,0.9341856837272644,22,0.8314393939393939,491.62066865134767
1,1,True,True,True,True,1.0,0.870604932308197,16,0.919431279620853,580.9107655461082
2,2,True,True,True,True,1.0,0.8201072812080383,18,0.9969788519637462,514.4249890908638
3,3,True,True,True,True,1.0,0.9002046585083008,18,0.7289156626506024,425.4668303994675
4,4,True,True,True,True,1.0,0.9092275500297546,24,0.9688850475367329,829.2300280733625
5,5,True,True,True,True,1.0,0.9094822406768799,29,0.9788461538461538,1110.6697674976117
6,6,True,True,True,True,1.0,0.9236085414886475,13,0.7170731707317073,308.7477157867921
7,7,False,False,True,True,0.7966607036374478,0.8304759860038757,23,0.9872739450770261,889.8687669010689
8,8,True,True,True,True,1.0,0.9020073413848877,35,0.9105691056910569,1121.01293623976
9,9,False,True,True,True,0.7418278852568378,0.9268882870674133,30,0.8674609084139985,912.4822090970407
10,10,True,True,True,True,1.0,0.8916189670562744,13,0.9443254817987152,262.00327665119903
11,11,True,True,True,True,1.0,0.8667073249816895,20,0.8857142857142857,449.62722164508494
12,12,False,True,True,True,0.896085409252669,0.894974946975708,31,0.890691114245416,1100.5135478635586
13,13,True,True,True,True,1.0,0.9032914042472839,27,0.9401069518716577,622.8188198685896
14,14,True,True,True,True,1.0,0.9359109997749329,21,0.9187380497131931,594.2162401969236
15,15,True,True,True,True,1.0,0.9055249094963074,29,0.8496732026143791,913.2636625772705
16,16,False,True,True,True,0.8885613207547169,0.7688820958137512,23,0.8885613207547169,779.3693675394458
17,17,True,True,True,True,1.0,0.8507476449012756,25,0.9856361149110807,978.9597000554704
18,18,True,True,True,True,1.0,0.9197999835014343,22,0.7088186356073212,588.4308479210993
19,19,True,True,True,True,1.0,0.9235647320747375,19,0.9634760705289672,501.35730516388327
20,20,True,True,True,True,1.0,0.9461750984191895,23,0.9090909090909091,536.030418649458
21,21,True,True,True,True,1.0,0.9337528347969055,18,0.9206349206349206,467.5329934853649
22,22,True,True,True,True,1.0,0.8718451857566833,24,0.9495665878644602,792.4112140517699
23,23,True,True,True,True,1.0,0.9098743796348572,30,0.9846153846153847,1076.0732215431733
24,24,True,True,True,True,1.0,0.9063963890075684,12,0.8840970350404312,294.58005142145214
25,25,True,True,True,True,1.0,0.8602045178413391,17,0.8760563380281691,411.88053125794363
26,26,True,True,True,True,1.0,0.8948753476142883,14,0.8661417322834646,437.295448941794
27,27,True,True,True,True,1.0,0.8719852566719055,31,0.8024485253199778,1404.8599639960503
28,28,False,False,False,False,0.7550301810865191,0.8158319592475891,28,0.8227091633466136,1040.9698320049329
29,29,True,True,True,True,1.0,0.9095284342765808,14,0.828978622327791,414.14170243798173
30,30,True,True,True,True,1.0,0.93304842710495,20,0.9057324840764331,389.12536704115627
31,31,True,True,True,True,1.0,0.8745808601379395,23,0.551980198019802,798.8488617578801
32,32,True,True,True,True,1.0,0.8680000305175781,31,0.9497681607418856,916.1095020022691
33,33,False,False,False,True,0.8682902584493042,0.8665885925292969,35,0.9922394678492239,1645.4503569054934
34,34,True,True,True,True,1.0,0.8981709480285645,15,0.9102141680395387,482.1957975356598
35,35,True,True,True,True,1.0,0.9239187240600586,25,0.9686131386861314,866.5974994744281
36,36,True,True,True,True,1.0,0.9066829681396484,34,0.9310141509433962,1213.8185688010565
37,37,True,True,True,True,1.0,0.7548858523368835,15,0.36512900703674744,590.3978740145667
38,38,True,True,True,True,1.0,0.9215013980865479,33,0.9581911262798635,1379.5104421850724
39,39,True,True,True,True,1.0,0.9098081588745117,18,0.9205175600739371,448.9487052841436
40,40,True,True,True,True,1.0,0.9136590361595154,26,0.8875562218890555,860.9486568743597
41,41,True,True,True,True,1.0,0.9245960116386414,10,0.7488584474885844,235.04775799182192
42,42,True,True,True,True,1.0,0.836341381072998,21,0.7802400738688827,673.5668192622804
43,43,False,False,True,True,0.82,0.8908098340034485,12,0.8571428571428571,103.57174002125652
44,44,True,True,True,True,1.0,0.8147218823432922,30,0.7787114845938375,999.8931308159232
45,45,True,True,True,True,1.0,0.9118881225585938,33,0.994343180389692,1200.3304670956418
46,46,True,True,True,True,1.0,0.8980627059936523,28,0.9708276797829036,1000.7799674256346
47,47,True,True,True,True,1.0,0.8687158226966858,18,0.7059659090909091,538.6153754227819
48,48,False,True,True,True,0.8299845440494591,0.840294361114502,24,0.9921807124239791,643.0844693591861
49,49,True,True,True,True,1.0,0.8913955688476562,24,0.8464106844741235,693.2741160506625
50,50,True,True,True,True,1.0,0.8477694392204285,23,0.5348837209302325,763.5154522594863
51,51,True,True,True,True,1.0,0.8941697478294373,27,0.9375,960.8954735015668
52,52,True,True,True,True,1.0,0.9210515022277832,15,0.7367688022284122,387.43411358111575
53,53,True,True,True,True,1.0,0.8755321502685547,28,0.7354497354497355,1055.5448582893741
54,54,True,True,True,True,1.0,0.8790825009346008,28,0.9770569620253164,1052.4479855089294
55,55,True,True,True,True,1.0,0.8499038815498352,18,0.7405247813411079,582.6862109768484
56,56,True,True,True,True,1.0,0.8598337769508362,22,0.9635332252836305,766.8071431912324
57,57,False,True,True,True,0.8026960784313726,0.8483359217643738,12,0.8026960784313726,348.15625140819
58,58,True,True,True,True,1.0,0.9158304333686829,17,0.9324618736383442,406.73531581186137
59,59,True,True,True,True,1.0,0.8902544975280762,15,0.8580152671755725,337.3598482774644
60,60,False,False,False,False,0.6369137670196672,0.6164323687553406,24,0.6746987951807228,920.795305912841
61,61,True,True,True,True,1.0,0.9345299601554871,28,0.9863532979529946,1064.9354613851062
62,62,False,True,True,True,0.5081743869209809,0.8914079666137695,12,0.6175637393767706,296.3349389236156
63,63,True,True,True,True,1.0,0.897741973400116,18,0.9826086956521739,323.0007936149917
64,64,True,True,True,True,1.0,0.9413161277770996,32,0.992867332382311,1267.3077878419028
65,65,False,False,False,False,0.6480134303301622,0.7761929631233215,30,0.6238293444328824,1460.772072172928
66,66,False,False,False,False,0.7364967188288744,0.6070111393928528,30,0.7109737248840804,1010.561349611933
67,67,True,True,True,True,1.0,0.921863853931427,27,0.9914748508098892,706.392548056631
68,68,False,False,False,False,0.7597014925373134,0.9064161777496338,24,0.9680851063829787,634.6413106733855
69,69,False,False,False,False,0.8895921237693389,0.8841152787208557,32,0.9073806078147613,754.0050253466031
70,70,False,False,False,False,0.7705410821643287,0.7685653567314148,35,0.8527968596663396,1477.5005458375101
71,71,False,True,True,True,0.8952912019826518,0.8270714282989502,29,0.8723797780517879,951.6725340573402
72,72,True,True,True,True,1.0,0.8317718505859375,13,0.9098360655737705,289.2526032889556
