chembl_id,selfies,smiles
CHEMBL504077,[C][O][C][=C][C][=C][C][=Branch1][=Branch1][=C][Ring1][=Branch1][O][C][C][Branch2][Ring2][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring1][Branch1][C][=C][C][=C][C][Branch1][Ring1][O][C][=C][Ring1][Branch2][N][Branch1][C][C][C][Ring1][=N][=O][O][Ring2][Ring1][Ring1][N][Branch1][C][C][C][=C][Ring2][Ring1][=C][C][=C][C][=C][C][=C][Branch1][#Branch1][C][=C][Ring1][#Branch2][Ring1][=Branch1][O][C][O][Ring1][#Branch1],COC1=CC=C2C(=C1OC)C(CC3(C)C=CC4=C(C5=CC=CC(OC)=C5N(C)C4=O)O3)N(C)C6=C2C=CC7=CC8=C(C=C67)OCO8
CHEMBL501567,[C][C][Branch1][C][C][C][C@H1][Branch2][Branch1][=N][N][C][=Branch1][C][=O][C@H1][Branch1][=Branch2][C][C][=C][N][=C][NH1][Ring1][Branch1][N][C][=Branch1][C][=O][C@H1][Branch1][#C][C][C][=C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1][N][C][=Branch1][C][=O][C@@H1][C][C][C][N][Ring1][Branch1][C][=Branch1][C][=O][C@@H1][Branch1][C][N][C][S][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C][C][C][C@H1][Ring1][Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][Ring1][C][S][C][=Branch1][C][=O][O],CC(C)C[C@H1](NC(=O)[C@H1](CC1=CN=C[NH1]1)NC(=O)[C@H1](CC2=C[NH1]C3=CC=CC=C23)NC(=O)[C@@H1]4CCCN4C(=O)[C@@H1](N)CS)C(=O)N[C@@H1](CC(C)C)C(=O)N5CCC[C@H1]5C(=O)N[C@@H1](CC6=CC=CC=C6)C(=O)N[C@@H1](CS)C(=O)O
CHEMBL501665,[C][C][Branch1][C][C][=C][C@H1][C][C@][Branch1][C][C][Branch1][C][O][C@@H1][C@H1][C][C][C@@H1][C@@][Branch1][C][C][C][C][C@H1][Branch2][Branch1][#C][O][C@@H1][O][C][C@H1][Branch1][C][O][C@H1][Branch2][Ring1][Branch1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C@H1][Ring2][Ring1][Ring1][O][C@@H1][O][C@@H1][Branch1][=N][C][O][C][=Branch1][C][=O][C][C][=Branch1][C][=O][O][C@H1][Branch1][C][O][C@H1][Ring1][=C][O][C][Branch1][C][C][Branch1][C][C][C@@H1][Ring2][Ring2][=N][C][C][C@@][Ring2][Ring2][P][Branch1][C][C][C@@][Ring2][Branch1][=Branch1][C][O][C@@][Ring2][Branch1][#Branch2][Branch1][Ring2][C][Ring1][Branch1][O][Ring2][Branch1][P],CC(C)=C[C@H1]1C[C@](C)(O)[C@@H1]2[C@H1]3CC[C@@H1]4[C@@]5(C)CC[C@H1](O[C@@H1]6OC[C@H1](O)[C@H1](O[C@@H1]7O[C@H1](CO)[C@@H1](O)[C@H1](O)[C@H1]7O)[C@H1]6O[C@@H1]8O[C@@H1](COC(=O)CC(=O)O)[C@H1](O)[C@H1]8O)C(C)(C)[C@@H1]5CC[C@@]4(C)[C@@]39CO[C@@]2(C9)O1
CHEMBL501667,[C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=Branch1][Branch2][=C][C][=C][Ring1][=Branch1][Ring1][=N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N][C][=C][N+1][=Branch1][Ring2][=C][Ring1][Branch1][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=Branch1][=Branch2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N+1][C][=C][N][Branch1][Ring2][C][=Ring1][Branch1][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Ring2][Branch1][O][=O].[Br-1].[Br-1],CCN1C2=CC=C3C=C2C4=CC(=CC=C41)C(=O)C5=CC=C(C=C5)CN6C=C[N+1](=C6)CC7=CC=C(C=C7)C8=CC=CC(=C8C(=O)O)C9=CC=C(C=C9)C[N+1]=%10C=CN(C=%10)CC%11=CC=C(C=C%11)C3=O.[Br-1].[Br-1]
CHEMBL501671,[C][O][C][=C][C][=C][C][Branch2][=Branch1][=Branch1][C][N][C][Branch1][O][C][C][C][Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][C][Branch2][Ring1][S][C][=N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][Branch1][#Branch2][N][S][Branch1][C][C][=Branch1][C][=O][=O][=C][C][=C][Ring1][O][N][Ring1][P][=C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring2][Ring1][=C][Ring2][Ring2][O],COC1=CC=CC(CNC2(CCC(C)(C)C)C(=O)C(C3=NS(=O)(=O)C4=CC(NS(C)(=O)=O)=CC=C4N3)=C(O)C5=CC=CC=C52)=C1
CHEMBL501672,[C][C][C][C][C][C@H1][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C@@H1][C@@H1][Branch2][Ring1][=C][O][C@@H1][O][C@H1][Branch1][C][C][C@@H1][Branch1][N][O][C][=Branch1][C][=O][C][Branch1][C][C][C][C][C@H1][Branch1][C][O][C@H1][Ring1][#C][O][C@H1][Branch1][C][C][O][C@@H1][Branch2][Ring2][#Branch2][O][C@H1][C@@H1][Branch1][#C][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@@H1][Ring1][=Branch2][O][O][C@@H1][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Branch1][C][C][O][C@H1][Ring1][=Branch2][O][Ring2][Branch1][#Branch2][C@@H1][Ring2][Ring2][=C][O][C][=Branch1][C][=O][C][Branch1][C][C][C][C],CCCCC[C@H1]1CCCCCCCCCC(=O)O[C@@H1]2[C@@H1](O[C@@H1]3O[C@H1](C)[C@@H1](OC(=O)C(C)CC)[C@H1](O)[C@H1]3O)[C@H1](C)O[C@@H1](O[C@H1]4[C@@H1](O[C@H1](CO)[C@@H1](O)[C@@H1]4O)O[C@@H1]5[C@@H1](O)[C@H1](O)[C@@H1](C)O[C@H1]5O1)[C@@H1]2OC(=O)C(C)CC
CHEMBL403325,[C][C@H1][C][N][Branch2][Ring1][#Branch2][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][C][C@@][Ring2][Ring1][#Branch1][Branch1][C][C][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1],C[C@H1]1CN(CCC(=O)N[C@@H1](CCC2=CC=CC=C2)C(=O)O)CC[C@@]1(C)C3=CC=CC(O)=C3
CHEMBL155287,[O][=C][Branch1][Ring1][N][O][C][=C][C][=C][Branch1][C][I][C][=C][Ring1][#Branch1],O=C(NO)C1=CC=C(I)C=C1
CHEMBL265174,[C][=C][C][C][=C][C][=C][Branch2][Ring1][#Branch2][O][C][=Branch1][C][=O][C][C][C][C][C][Branch1][O][C][C][Branch1][Ring2][C][Ring1][=Branch1][C][Ring1][=Branch2][C][Ring1][#Branch2][C][Branch1][Ring1][O][C][=C][Ring2][Ring1][Branch1],C=CCC1=CC=C(OC(=O)C23CC4CC(CC(C4)C2)C3)C(OC)=C1
CHEMBL264472,[C][C][=C][C][=C][C][Branch2][Ring2][C][N][C][C][N][Branch2][Ring1][=Branch1][C][C][C][O][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=O][C][C][Ring2][Ring1][Branch1][=C][Ring2][Ring1][O],CC1=CC=CC(N2CCN(CCCON3C(=O)C4=CC=CC=C4C3=O)CC2)=C1
